scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,1,0.1409,1.5577,3.6577,1538.0,1802.32,8781.0
Rondo,2,0.0096,1.6843,3.7843,1540.0,1214.13,6651.0
Rondo,3,0.1257,1.4032,3.5032,1539.0,1664.52,8373.0
Rondo,4,0.0737,1.8427,3.9427,1544.0,1601.32,8066.0
Rondo,5,0.116,1.7594,3.8594,1541.0,1769.78,8768.0
Rondo,6,0.1355,2.287,4.387,1546.0,2124.15,9694.0
Rondo,7,0.0613,1.83,3.93,1540.0,1504.74,7672.0
Rondo,8,0.0237,1.1993,3.2993,1538.0,1060.76,6053.0
Rondo,9,0.0032,1.2082,3.3082,1541.0,998.37,5747.0
Rondo,10,0.0278,1.4704,3.5704,1540.0,1191.17,6548.0
Rondo,11,0.0741,2.2917,4.3917,1544.0,1796.1,8672.0
Rondo,12,0.1365,1.3484,3.4484,1536.0,1663.25,8277.0
Rondo,13,0.1235,1.9663,4.0663,1542.0,1918.73,9073.0
Rondo,14,0.1077,1.3233,3.4233,1537.0,1528.43,7859.0
Rondo,15,0.036,1.8259,3.9259,1538.0,1357.86,7253.0
Rondo,16,0.0412,2.4897,4.5897,1543.0,1738.15,8370.0
Rondo,17,0.1358,2.1424,4.2424,1546.0,2022.66,9485.0
Rondo,18,0.0941,1.9875,4.0875,1543.0,1808.73,8771.0
Rondo,19,0.0474,1.0255,3.1255,1539.0,1086.9,6148.0
Rondo,20,0.0529,1.8548,3.9548,1541.0,1492.69,7766.0
Rondo,21,0.1409,1.9961,4.0961,1538.0,2027.96,9677.0
Rondo,22,0.0864,1.531,3.631,1537.0,1548.61,7870.0
Rondo,23,0.0998,1.3103,3.4103,1540.0,1487.14,7666.0
Rondo,24,0.1183,1.5852,3.6852,1538.0,1711.81,8568.0
Rondo,25,0.1123,1.6957,3.7957,1538.0,1695.01,8381.0
Rondo,26,0.0418,1.8255,3.9255,1543.0,1417.98,7367.0
Rondo,27,0.0208,1.6237,3.7237,1543.0,1263.64,6952.0
Rondo,28,0.0572,1.9091,4.0091,1540.0,1547.2,7869.0
Rondo,29,0.1255,2.4075,4.5075,1542.0,2076.92,9677.0
Rondo,30,0.1359,2.3713,4.4713,1546.0,2162.97,9790.0
Rondo,31,0.1341,1.202,3.302,1544.0,1641.03,8269.0
Rondo,32,0.0866,1.9219,4.0219,1539.0,1720.23,8574.0
Rondo,33,0.0488,2.0133,4.1133,1540.0,1562.06,7872.0
Rondo,34,0.0677,2.4297,4.5297,1538.0,1804.53,8667.0
Rondo,35,0.0378,1.5222,3.6222,1541.0,1267.79,6849.0
Rondo,36,0.1252,2.0002,4.1002,1541.0,1961.6,9382.0
Rondo,37,0.0566,1.4599,3.5599,1540.0,1312.33,7068.0
Rondo,38,0.0305,1.3995,3.4995,1537.0,1170.04,6447.0
Rondo,39,0.0668,1.9469,4.0469,1538.0,1666.33,8268.0
Rondo,40,0.033,1.2108,3.3108,1541.0,1138.8,6258.0
Rondo,41,0.1485,1.9588,4.0588,1540.0,2055.01,9581.0
Rondo,42,0.023,1.2571,3.3571,1540.0,1113.58,6251.0
Rondo,43,0.1468,1.4989,3.5989,1541.0,1818.3,8780.0
Rondo,44,0.0877,1.4432,3.5432,1541.0,1515.22,7862.0
Rondo,45,0.0997,2.3341,4.4341,1540.0,1949.16,9380.0
Rondo,46,0.1353,1.4863,3.5863,1546.0,1745.68,8680.0
Rondo,47,0.0084,2.3634,4.4634,1538.0,1515.69,7466.0
Rondo,48,0.1469,2.4082,4.5082,1540.0,2244.35,9985.0
Rondo,49,0.0745,2.0747,4.1747,1541.0,1753.7,8577.0
Rondo,50,0.0716,2.0988,4.1988,1536.0,1738.65,8382.0
Rondo,51,0.0005,1.1579,3.2579,1546.0,979.58,5548.0
Rondo,52,0.0143,2.0794,4.1794,1537.0,1436.75,7367.0
Rondo,53,0.1388,1.9713,4.0713,1538.0,1945.08,9287.0
Rondo,54,0.03,1.245,3.345,1538.0,1125.67,6257.0
Rondo,55,0.1073,2.0374,4.1374,1537.0,1859.73,8879.0
Rondo,56,0.0606,2.0467,4.1467,1541.0,1640.06,8072.0
Rondo,57,0.0752,2.0712,4.1712,1541.0,1711.56,8380.0
Rondo,58,0.0167,1.2337,3.3337,1539.0,1045.11,6047.0
Rondo,59,0.063,1.2989,3.3989,1546.0,1282.63,7053.0
Rondo,60,0.1268,2.3504,4.4504,1539.0,2076.59,9589.0
Rondo,61,0.0359,2.4938,4.5938,1536.0,1701.82,8167.0
Rondo,62,0.0808,2.2439,4.3439,1538.0,1793.7,8670.0
Rondo,63,0.0054,1.9501,4.0501,1541.0,1307.81,7051.0
Rondo,64,0.0654,2.2306,4.3306,1536.0,1766.42,8566.0
Rondo,65,0.0378,2.3977,4.4977,1541.0,1701.3,8165.0
Rondo,66,0.1135,2.399,4.499,1543.0,2046.56,9475.0
Rondo,67,0.1443,1.7129,3.8129,1546.0,1866.4,9071.0
Rondo,68,0.0644,1.391,3.491,1537.0,1366.22,7264.0
Rondo,69,0.1455,1.7758,3.8758,1545.0,1958.54,9281.0
Rondo,70,0.1229,2.0689,4.1689,1538.0,1983.27,9289.0
Rondo,71,0.0196,2.3081,4.4081,1541.0,1535.79,7674.0
Rondo,72,0.0254,2.1801,4.2801,1541.0,1523.84,7760.0
Rondo,73,0.0395,1.8865,3.9865,1540.0,1418.5,7457.0
Rondo,74,0.1153,1.9925,4.0925,1544.0,1854.61,8986.0
Rondo,75,0.0822,1.0641,3.1641,1538.0,1262.69,6860.0
Rondo,76,0.1349,1.5318,3.6318,1546.0,1742.69,8768.0
Rondo,77,0.1114,1.7959,3.8959,1540.0,1721.41,8465.0
Rondo,78,0.0134,1.8175,3.9175,1538.0,1272.42,6758.0
Rondo,79,0.001,2.3096,4.4096,1546.0,1475.7,7458.0
Rondo,80,0.0483,2.3036,4.4036,1541.0,1662.97,8175.0
Rondo,81,0.1049,1.1517,3.2517,1541.0,1447.04,7556.0
Rondo,82,0.0166,1.2511,3.3511,1539.0,1056.51,6050.0
Rondo,83,0.1038,2.4823,4.5823,1542.0,2050.59,9374.0
Rondo,84,0.1412,1.1986,3.2986,1538.0,1659.07,8273.0
Rondo,85,0.0738,1.6234,3.7234,1544.0,1492.09,7672.0
Rondo,86,0.1137,2.1624,4.2624,1543.0,1989.58,9283.0
Rondo,87,0.1307,1.8988,3.9988,1541.0,1923.88,8980.0
Rondo,88,0.0806,1.5908,3.6908,1538.0,1510.93,7765.0
Rondo,89,0.0596,1.6324,3.7324,1540.0,1436.04,7464.0
Rondo,90,0.0155,1.3441,3.4441,1540.0,1082.93,6153.0
Rondo,91,0.0256,1.2745,3.3745,1541.0,1126.99,6249.0
Rondo,92,0.1213,1.6502,3.7502,1539.0,1740.98,8566.0
Rondo,93,0.1346,1.0886,3.1886,1545.0,1578.0,7977.0
Rondo,94,0.0544,1.0683,3.1683,1540.0,1191.08,6462.0
Rondo,95,0.0704,1.9123,4.0123,1537.0,1605.96,7960.0
Rondo,96,0.0078,1.8447,3.9447,1539.0,1241.31,6652.0
Rondo,97,0.0499,1.3889,3.4889,1537.0,1287.82,6853.0
Rondo,98,0.1049,1.1556,3.2556,1541.0,1479.2,7657.0
Rondo,99,0.0821,1.94,4.04,1538.0,1664.53,8271.0
Rondo,100,0.0788,1.5554,3.6554,1540.0,1525.87,7771.0
Rondo,101,0.0529,1.2904,3.3904,1541.0,1252.93,6853.0
Rondo,102,0.0582,2.2599,4.3599,1541.0,1698.52,8475.0
Rondo,103,0.0179,2.0534,4.1534,1538.0,1441.77,7472.0
Rondo,104,0.117,1.3555,3.4555,1540.0,1635.98,8071.0
Rondo,105,0.0109,1.7018,3.8018,1542.0,1232.3,6756.0
Rondo,106,0.0784,1.0391,3.1391,1540.0,1287.49,6954.0
Rondo,107,0.0293,2.2976,4.3976,1539.0,1573.74,7859.0
Rondo,108,0.1347,2.002,4.102,1546.0,1947.74,9288.0
Rondo,109,0.0445,1.5373,3.6373,1541.0,1332.94,7152.0
Rondo,110,0.074,1.2281,3.3281,1544.0,1338.3,7166.0
Rondo,111,0.0334,1.0432,3.1432,1538.0,1055.06,5955.0
Rondo,112,0.0135,1.0439,3.1439,1538.0,944.2,5540.0
Rondo,113,0.1219,2.4158,4.5158,1537.0,2052.61,9386.0
Rondo,114,0.1245,2.3387,4.4387,1540.0,2076.9,9590.0
Rondo,115,0.0658,1.0963,3.1963,1537.0,1233.03,6652.0
Rondo,116,0.0072,1.251,3.351,1540.0,1019.96,5849.0
Rondo,117,0.1263,1.3508,3.4508,1540.0,1623.98,8277.0
Rondo,118,0.0927,2.0106,4.1106,1544.0,1814.15,8882.0
Rondo,119,0.1487,1.4623,3.5623,1539.0,1814.74,8667.0
Rondo,120,0.0526,1.8001,3.9001,1540.0,1477.79,7659.0
Rondo,121,0.0141,1.5758,3.6758,1537.0,1192.52,6557.0
Rondo,122,0.0822,1.6567,3.7567,1538.0,1562.7,7968.0
Rondo,123,0.1219,1.0613,3.1613,1537.0,1529.13,7771.0
Rondo,124,0.1341,1.5373,3.6373,1544.0,1787.58,8768.0
Rondo,125,0.0383,1.0108,3.1108,1541.0,1051.09,5955.0
Rondo,126,0.0646,2.3389,4.4389,1536.0,1757.41,8377.0
Rondo,127,0.149,2.0585,4.1585,1540.0,2045.72,9580.0
Rondo,128,0.0549,2.1005,4.2005,1538.0,1655.92,8268.0
Rondo,129,0.0235,1.0593,3.1593,1540.0,994.35,5740.0
Rondo,130,0.0061,1.5699,3.6699,1541.0,1164.7,6459.0
Rondo,131,0.083,1.0541,3.1541,1541.0,1317.11,7164.0
Rondo,132,0.0631,2.4904,4.5904,1546.0,1851.66,8670.0
Rondo,133,0.02,2.1928,4.2928,1541.0,1504.58,7668.0
Rondo,134,0.0918,1.4612,3.5612,1541.0,1543.06,7871.0
Rondo,135,0.0783,1.4782,3.5782,1542.0,1476.31,7670.0
Rondo,136,0.0459,1.553,3.653,1539.0,1333.86,7061.0
Rondo,137,0.1219,1.1015,3.2015,1537.0,1554.5,7675.0
Rondo,138,0.0833,1.2229,3.3229,1540.0,1414.45,7358.0
Rondo,139,0.1103,1.2261,3.3261,1541.0,1543.7,7667.0
Rondo,140,0.0335,1.535,3.635,1538.0,1279.8,6861.0
Rondo,141,0.0246,1.2449,3.3449,1540.0,1091.16,6158.0
Rondo,142,0.1052,1.8436,3.9436,1538.0,1731.0,8473.0
Rondo,143,0.0332,2.243,4.343,1538.0,1591.8,7962.0
Rondo,144,0.0379,2.3465,4.4465,1541.0,1654.56,8064.0
Rondo,145,0.1469,1.3581,3.4581,1540.0,1705.39,8480.0
Rondo,146,0.0367,1.2829,3.3829,1540.0,1168.48,6456.0
Rondo,147,0.0375,1.1125,3.2125,1540.0,1079.37,6055.0
Rondo,148,0.0343,1.357,3.457,1538.0,1194.32,6647.0
Rondo,149,0.0602,2.1576,4.2576,1541.0,1728.06,8465.0
Rondo,150,0.0141,1.858,3.958,1537.0,1308.8,6962.0
Rondo,151,0.1126,1.8082,3.9082,1538.0,1732.52,8468.0
Rondo,152,0.1178,1.5859,3.6859,1539.0,1719.6,8467.0
Rondo,153,0.1256,1.6449,3.7449,1542.0,1788.92,8579.0
Rondo,154,0.0435,2.1327,4.2327,1541.0,1641.22,8070.0
Rondo,155,0.0864,1.6494,3.7494,1539.0,1583.03,7965.0
Rondo,156,0.131,1.177,3.277,1541.0,1552.64,7974.0
Rondo,157,0.119,1.3816,3.4816,1539.0,1663.98,8169.0
Rondo,158,0.0569,2.2149,4.3149,1540.0,1698.84,8469.0
Rondo,159,0.0717,1.6322,3.7322,1536.0,1511.67,7574.0
Rondo,160,0.0175,1.1479,3.2479,1538.0,996.02,5746.0
Rondo,161,0.0878,1.959,4.059,1541.0,1716.19,8571.0
Rondo,162,0.034,1.5793,3.6793,1538.0,1312.26,7061.0
Rondo,163,0.1121,1.1344,3.2344,1538.0,1483.48,7673.0
Rondo,164,0.0976,1.3356,3.4356,1541.0,1491.58,7661.0
Rondo,165,0.1199,2.0382,4.1382,1539.0,1909.88,9076.0
Rondo,166,0.0061,1.9334,4.0334,1541.0,1320.8,7059.0
Rondo,167,0.0091,2.2102,4.3102,1538.0,1458.65,7460.0
Rondo,168,0.0833,1.4949,3.5949,1540.0,1524.86,7972.0
Rondo,169,0.1,1.9086,4.0086,1537.0,1753.29,8571.0
Rondo,170,0.0378,2.4921,4.5921,1541.0,1709.1,8076.0
Rondo,171,0.0507,2.0714,4.1714,1538.0,1592.53,7962.0
Rondo,172,0.0894,1.2957,3.3957,1538.0,1406.76,7465.0
Rondo,173,0.1253,1.4101,3.5101,1542.0,1619.38,8274.0
Rondo,174,0.0573,1.816,3.916,1540.0,1490.59,7571.0
Rondo,175,0.1271,1.6265,3.7265,1538.0,1733.62,8570.0
Rondo,176,0.0403,1.5578,3.6578,1538.0,1311.41,6967.0
Rondo,177,0.1207,2.1794,4.2794,1540.0,1976.61,9381.0
Rondo,178,0.109,2.1718,4.2718,1540.0,1919.22,9178.0
Rondo,179,0.0929,1.975,4.075,1542.0,1793.52,8781.0
Rondo,180,0.0341,2.1515,4.2515,1538.0,1564.62,7966.0
Rondo,181,0.0718,2.4852,4.5852,1536.0,1873.07,8678.0
Rondo,182,0.1268,1.4129,3.5129,1538.0,1712.11,8480.0
Rondo,183,0.1439,1.9999,4.0999,1537.0,2001.07,9384.0
